Tap #,Previous Product,Current Product,Effective Date,Split Week
1,Bombay Sapphire,Hennessy Cognac 3,2026-01-08,current
84,Jose Cuervo Gold Tequila 2,Hennessy Cognac 2,2026-07-02,current
